fourth_down_attempts_q1,fourth_down_attempts_q2,fourth_down_attempts_q3,fourth_down_attempts_q4,game_id,num_of_,num_of_CENTER,num_of_DEEP LEFT,num_of_DEEP RIGHT,num_of_EXTRA POINT,num_of_FIELD GOAL,num_of_KICK OFF,num_of_LEFT END,num_of_LEFT GUARD,num_of_LEFT TACKLE,num_of_NO HUDDLE SHOTGUN,num_of_NO PLAY,num_of_PASS,num_of_PUNT,num_of_RIGHT END,num_of_RIGHT GUARD,num_of_RIGHT TACKLE,num_of_RUSH,num_of_SACK,num_of_SHORT LEFT,num_of_SHORT MIDDLE,num_of_SHORT RIGHT,num_of_SHOTGUN,num_of_UNDER CENTER,num_of_attempted_two_pt_conversions,num_of_completed_two_pt_conversions,num_of_defensive_penalties_q1,num_of_defensive_penalties_q2,num_of_defensive_penalties_q3,num_of_defensive_penalties_q4,num_of_defensive_penalty_yards_q1,num_of_defensive_penalty_yards_q2,num_of_defensive_penalty_yards_q3,num_of_defensive_penalty_yards_q4,num_of_fumbles_q1,num_of_fumbles_q2,num_of_fumbles_q3,num_of_fumbles_q4,num_of_interceptions_caught_q1,num_of_interceptions_caught_q2,num_of_interceptions_caught_q3,num_of_interceptions_caught_q4,num_of_interceptions_thrown_q1,num_of_interceptions_thrown_q2,num_of_interceptions_thrown_q3,num_of_interceptions_thrown_q4,num_of_offensive_penalties_q1,num_of_offensive_penalties_q2,num_of_offensive_penalties_q3,num_of_offensive_penalties_q4,num_of_offensive_penalty_yards_q1,num_of_offensive_penalty_yards_q2,num_of_offensive_penalty_yards_q3,num_of_offensive_penalty_yards_q4,num_of_passes_attempted_q1,num_of_passes_attempted_q2,num_of_passes_attempted_q3,num_of_passes_attempted_q4,num_of_passes_completed_q1,num_of_passes_completed_q2,num_of_passes_completed_q3,num_of_passes_completed_q4,num_of_sacks_q1,num_of_sacks_q2,num_of_sacks_q3,num_of_sacks_q4,num_of_times_sacked_q1,num_of_times_sacked_q2,num_of_times_sacked_q3,num_of_times_sacked_q4,number_of_first_downs_q1,number_of_first_downs_q2,number_of_first_downs_q3,number_of_first_downs_q4,number_of_successful_fourth_downs_q1,number_of_successful_fourth_downs_q2,number_of_successful_fourth_downs_q3,number_of_successful_fourth_downs_q4,number_of_successful_third_downs_q1,number_of_successful_third_downs_q2,number_of_successful_third_downs_q3,number_of_successful_third_downs_q4,points,third_down_attempts_q1,third_down_attempts_q2,third_down_attempts_q3,third_down_attempts_q4,yards_allowed_q1,yards_allowed_q2,yards_allowed_q3,yards_allowed_q4,yards_moved_q1,yards_moved_q2,yards_moved_q3,yards_moved_q4,fourth_down_attempts_total,num_of_defensive_penalties_total,num_of_defensive_penalty_yards_total,num_of_fumbles_total,num_of_interceptions_caught_total,num_of_interceptions_thrown_total,num_of_offensive_penalties_total,num_of_offensive_penalty_yards_total,num_of_passes_attempted_total,num_of_passes_completed_total,num_of_sacks_total,num_of_times_sacked_total,number_of_first_downs_total,number_of_successful_fourth_downs_total,number_of_successful_third_downs_total,third_down_attempts_total,yards_allowed_total,yards_moved_total
0,1,1,4,2021092612,53,12.0,,2.0,3.0,3.0,7,2.0,1.0,4.0,5.0,,38,3.0,5.0,6.0,5.0,35,2.0,17.0,5.0,14,31,50,0,0,0,0,1,1,0,0,10,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,5,5,15,12,6,5,11,9,5,0,0,1,1,0,1,1,0,7,15,9,7,0,0,0,0,0,4,3,2,30,0,6,4,5,131,183,7,74,73,153,117,110,6,2,25,1,0,0,2,15,38,30,2,2,38,0,9,15,395,453
1,1,1,2,2021092612,30,3.0,5.0,1.0,2.0,2.0,4,2.0,1.0,2.0,15.0,,33,2.0,3.0,1.0,3.0,15,2.0,11.0,5.0,11,23,19,0,0,0,2,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,10,9,2,12,8,7,1,7,0,1,1,0,0,0,1,1,11,10,2,4,0,0,0,0,3,0,0,0,17,4,1,1,2,73,153,117,110,131,183,7,74,5,2,20,1,0,0,2,15,33,23,2,2,27,0,3,8,453,395
3,2,3,2,2021101008,53,5.0,6.0,5.0,1.0,3.0,6,5.0,4.0,7.0,1.0,1.0,45,4.0,6.0,3.0,,30,2.0,8.0,12.0,12,61,29,1,1,0,1,0,0,0,15,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,2,1,0,10,11,1,0,9,12,11,13,4,8,7,4,1,1,0,0,1,0,0,1,7,9,7,7,0,0,0,1,1,3,1,0,22,4,5,4,3,132,113,18,124,92,103,85,94,10,1,15,1,1,2,4,22,45,23,2,2,30,1,5,16,387,374
0,2,2,3,2021101008,42,1.0,2.0,5.0,5.0,,5,,4.0,2.0,,2.0,31,5.0,8.0,3.0,2.0,20,2.0,10.0,8.0,5,24,44,0,0,2,0,0,2,31,0,0,8,1,0,0,0,0,1,0,1,1,0,0,0,0,2,1,1,0,1,0,5,7,10,8,6,5,4,2,5,1,0,0,1,1,1,0,0,6,9,2,11,0,0,0,1,2,0,0,2,33,2,2,2,5,92,103,85,94,132,113,18,124,7,4,39,1,2,1,4,6,31,16,2,2,28,1,4,11,374,387
3,2,2,2,2021101706,56,4.0,4.0,1.0,5.0,1.0,7,,3.0,9.0,10.0,2.0,31,5.0,4.0,6.0,5.0,31,2.0,10.0,5.0,9,34,33,0,0,3,1,0,0,20,10,0,0,0,1,0,0,0,2,1,0,0,1,0,1,1,2,1,0,0,15,5,0,7,16,5,3,4,14,5,2,1,1,1,1,2,0,0,0,4,20,6,5,1,1,1,0,0,1,1,0,38,2,3,4,3,101,33,58,105,51,201,88,51,9,4,30,1,3,2,4,20,31,25,4,2,35,3,2,12,297,391
2,3,1,3,2021101706,33,6.0,3.0,1.0,,1.0,3,,2.0,1.0,46.0,2.0,52,4.0,,4.0,4.0,17,4.0,15.0,8.0,23,17,12,1,1,1,1,0,1,6,5,0,6,1,1,0,0,0,1,0,1,0,2,1,0,1,1,0,0,5,5,0,0,15,10,5,22,8,5,5,14,2,0,0,0,1,1,1,1,6,2,5,12,0,0,1,1,3,0,0,1,11,7,5,1,4,51,201,88,51,101,33,58,105,9,3,17,2,2,3,2,10,52,32,2,4,25,2,4,17,391,297
1,1,2,3,2021102405,26,1.0,4.0,3.0,,2.0,2,1.0,3.0,,16.0,2.0,54,2.0,1.0,,1.0,7,4.0,11.0,11.0,23,52,8,0,0,2,1,0,0,22,5,0,0,1,1,0,2,0,0,1,0,0,1,0,1,1,1,4,0,5,10,35,0,4,6,13,31,3,4,9,19,0,1,0,0,1,0,1,2,4,2,9,11,0,0,0,2,0,0,0,4,3,1,1,2,7,172,124,89,15,33,33,142,180,7,3,27,4,1,2,6,50,54,35,1,4,26,2,4,11,400,388
0,1,0,2,2021102405,53,10.0,4.0,2.0,3.0,2.0,6,2.0,3.0,3.0,2.0,2.0,30,2.0,2.0,6.0,7.0,33,1.0,6.0,5.0,11,23,48,0,0,0,0,1,2,0,0,5,10,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,3,5,8,0,10,13,7,0,8,9,6,0,1,0,1,2,0,1,0,0,13,13,6,1,0,0,0,0,4,3,2,0,27,5,6,3,2,33,33,142,180,172,124,89,15,3,3,15,0,2,1,3,16,30,23,4,1,33,0,9,16,388,400
2,3,1,1,2021103101,42,4.0,4.0,2.0,2.0,2.0,6,5.0,3.0,1.0,12.0,2.0,47,4.0,5.0,,3.0,21,,20.0,4.0,16,50,21,1,1,2,1,0,1,5,15,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,2,5,15,15,20,3,14,16,14,1,9,11,10,1,0,0,2,0,0,0,0,2,4,11,13,0,0,0,0,1,0,2,3,26,4,3,4,4,90,96,16,94,45,78,139,124,7,4,25,1,1,0,6,55,47,31,3,0,30,0,6,15,296,386
1,3,3,1,2021103101,39,12.0,2.0,3.0,,2.0,3,1.0,2.0,1.0,5.0,2.0,42,5.0,2.0,2.0,,20,3.0,17.0,5.0,14,57,11,1,1,0,0,4,2,0,0,28,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,1,10,5,0,10,12,11,6,13,7,7,3,7,0,0,0,0,1,0,0,2,6,6,0,8,0,0,0,1,2,2,0,2,11,4,6,3,3,45,78,139,124,90,96,16,94,8,6,28,2,0,1,5,25,42,24,0,3,20,1,6,16,386,296
1,0,2,1,2021102406,34,2.0,5.0,4.0,2.0,2.0,6,2.0,,8.0,10.0,2.0,44,1.0,,1.0,4.0,17,1.0,12.0,6.0,16,34,29,1,1,0,0,2,1,0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,10,0,0,7,17,13,7,6,11,6,5,0,0,2,0,0,0,1,0,5,11,5,7,0,0,0,0,1,4,2,2,28,2,6,5,3,160,86,59,128,67,126,116,67,4,3,25,0,2,0,2,10,44,28,2,1,28,0,9,16,433,376
2,3,3,0,2021102406,48,14.0,1.0,1.0,1.0,4.0,6,1.0,3.0,5.0,2.0,1.0,36,2.0,2.0,2.0,2.0,29,2.0,8.0,14.0,11,41,33,0,0,0,2,2,0,0,37,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,1,0,20,0,10,9,10,6,11,5,5,4,11,0,0,1,0,0,0,2,0,9,5,4,8,1,0,0,0,2,0,0,4,19,4,3,3,5,67,126,116,67,160,86,59,128,8,4,47,0,0,2,6,30,36,25,1,2,26,1,6,15,376,433
0,2,2,3,2021112112,54,3.0,2.0,1.0,5.0,3.0,8,4.0,6.0,2.0,4.0,2.0,42,2.0,3.0,2.0,,20,4.0,12.0,7.0,18,44,43,0,0,4,1,0,2,20,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,1,15,5,25,0,8,12,10,12,6,10,8,7,0,0,0,3,0,3,0,1,9,13,12,10,0,0,0,0,3,1,3,1,47,3,2,4,4,63,114,54,73,90,146,178,164,7,7,30,0,1,1,7,45,42,31,3,4,44,0,8,13,304,578
1,1,1,5,2021112112,39,2.0,2.0,6.0,4.0,3.0,8,4.0,6.0,1.0,12.0,2.0,48,1.0,,4.0,1.0,18,3.0,14.0,10.0,13,43,28,0,0,1,2,2,1,3,11,10,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,5,3,11,8,8,21,6,6,7,11,0,3,0,1,0,0,0,3,6,8,3,14,0,0,0,0,3,1,2,2,37,4,2,3,6,90,146,178,164,63,114,54,73,8,6,30,1,1,1,2,8,48,30,4,3,31,0,8,15,578,304
1,2,2,2,2021112110,45,9.0,3.0,1.0,2.0,3.0,5,5.0,2.0,1.0,,1.0,38,4.0,1.0,,4.0,22,3.0,15.0,6.0,13,57,19,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,2,1,0,10,25,10,0,10,9,11,8,7,4,7,6,1,2,0,2,0,1,2,0,12,5,7,5,0,0,0,0,1,0,2,2,19,3,2,4,4,29,65,86,76,145,60,125,79,7,2,5,1,2,1,4,45,38,24,5,3,29,0,5,13,256,409
2,3,2,2,2021112110,37,7.0,2.0,6.0,,3.0,4,2.0,1.0,1.0,8.0,3.0,45,6.0,3.0,,1.0,15,5.0,13.0,6.0,17,48,16,0,0,1,0,0,1,5,0,0,15,1,1,0,0,0,0,1,0,0,1,0,1,1,2,0,1,5,15,0,5,9,14,10,12,5,10,7,9,0,1,2,0,1,2,0,2,3,4,7,5,0,0,0,0,1,3,1,1,9,5,7,3,3,145,60,125,79,29,65,86,76,9,2,20,2,1,2,4,25,45,31,3,5,19,0,6,18,409,256
2,1,2,2,2021112500,44,6.0,3.0,4.0,1.0,4.0,3,4.0,1.0,2.0,3.0,1.0,39,4.0,3.0,4.0,3.0,23,1.0,11.0,7.0,12,40,32,0,0,2,0,1,0,15,0,15,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,20,0,11,15,5,8,8,9,3,5,0,1,0,0,0,0,0,1,5,9,6,7,0,0,0,0,1,0,2,3,16,3,3,4,6,66,56,75,51,99,133,80,83,7,3,30,1,0,1,3,20,39,25,1,1,27,0,6,16,248,395
1,2,2,1,2021112500,40,9.0,,4.0,3.0,,3,3.0,,5.0,,5.0,26,6.0,3.0,1.0,1.0,22,1.0,6.0,3.0,13,32,28,0,0,0,0,0,2,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,1,6,1,3,2,30,5,25,5,9,9,3,5,7,7,2,0,0,0,1,0,1,0,0,6,4,7,2,0,0,0,0,2,1,1,0,15,3,3,3,1,99,133,80,83,66,56,75,51,6,2,5,2,1,0,11,62,26,21,1,1,19,0,4,10,395,248
2,2,2,3,2021112501,45,8.0,4.0,1.0,3.0,3.0,7,2.0,2.0,2.0,10.0,1.0,50,7.0,1.0,2.0,2.0,19,1.0,17.0,4.0,22,45,30,2,2,3,2,3,1,46,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,14,0,10,0,9,9,7,22,6,5,3,17,1,1,0,0,0,0,0,1,8,7,5,13,0,0,0,0,1,1,0,2,40,4,3,3,5,100,122,137,154,121,104,27,215,9,9,83,0,0,0,4,24,47,31,2,1,33,0,4,15,513,467
1,2,2,5,2021112501,70,14.0,3.0,7.0,3.0,5.0,9,4.0,1.0,11.0,1.0,5.0,45,6.0,2.0,2.0,2.0,36,3.0,13.0,8.0,12,49,55,0,0,2,1,2,0,13,15,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5,10,11,0,40,10,9,13,11,4,5,8,7,0,0,0,1,1,1,0,0,9,7,9,6,0,0,0,0,1,2,1,0,42,4,5,4,4,121,104,27,215,100,122,137,154,10,5,34,1,0,0,7,61,43,24,1,2,31,0,4,17,467,513
0,2,1,3,2021112502,49,1.0,2.0,1.0,4.0,1.0,6,10.0,7.0,3.0,4.0,1.0,32,3.0,2.0,5.0,,28,2.0,11.0,3.0,15,42,31,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0,15,0,5,4,15,8,5,3,13,6,4,1,1,0,0,1,1,0,0,9,6,11,5,0,0,1,0,2,3,2,1,37,3,4,3,3,36,29,58,86,64,111,119,76,6,2,15,0,1,2,3,20,32,26,2,2,31,1,8,13,209,370
2,4,1,1,2021112502,37,,2.0,4.0,,,2,2.0,10.0,2.0,2.0,2.0,30,5.0,,4.0,5.0,23,2.0,7.0,8.0,9,30,30,1,1,0,1,1,0,0,5,9,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,5,0,5,0,5,9,6,10,4,3,3,8,1,1,0,0,1,1,0,0,2,2,4,7,0,1,0,0,0,0,2,3,6,2,4,3,5,64,111,119,76,36,29,58,86,8,2,14,0,2,1,2,10,30,18,2,2,15,1,5,14,370,209
0,2,3,3,2021112111,52,6.0,,3.0,3.0,3.0,5,2.0,7.0,5.0,31.0,,47,5.0,2.0,3.0,5.0,30,2.0,10.0,14.0,18,43,16,0,0,0,2,0,0,0,22,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,10,0,9,15,11,12,7,12,9,7,2,0,1,1,1,0,1,0,9,9,6,12,0,1,0,0,3,2,2,1,29,4,5,4,5,35,109,39,83,68,139,117,127,8,2,22,4,0,1,4,10,47,35,4,2,36,1,8,18,266,451
1,3,3,1,2021112111,35,7.0,1.0,5.0,1.0,2.0,4,2.0,3.0,,8.0,,26,5.0,3.0,3.0,,18,4.0,11.0,1.0,7,29,16,0,0,1,1,0,1,14,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,6,2,4,4,4,1,0,1,0,2,0,1,1,3,7,4,6,0,0,0,0,1,0,0,1,13,2,3,3,2,68,139,117,127,35,109,39,83,8,3,17,2,1,0,0,0,26,14,2,4,20,0,2,10,451,266
1,2,2,1,2021112800,28,6.0,,6.0,1.0,1.0,3,,3.0,2.0,18.0,,44,5.0,,3.0,1.0,15,3.0,20.0,9.0,9,35,13,0,0,2,1,1,0,4,6,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,2,5,0,0,15,10,7,9,18,7,4,5,13,1,1,0,0,0,1,2,0,6,3,3,11,0,0,0,0,1,1,1,4,16,2,3,3,5,94,200,53,56,129,52,39,162,6,4,10,2,1,2,3,20,44,29,2,3,23,0,7,13,403,382
1,0,3,2,2021112800,59,5.0,1.0,4.0,5.0,2.0,8,4.0,1.0,11.0,1.0,1.0,27,3.0,4.0,6.0,6.0,37,2.0,10.0,5.0,7,38,42,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,10,0,3,6,12,6,3,5,11,4,2,0,1,2,0,1,1,0,0,9,19,5,6,0,0,1,0,1,3,0,1,41,2,3,3,3,129,52,39,162,94,200,53,56,6,1,5,0,2,1,2,13,27,22,3,2,39,1,5,11,382,403
0,3,1,4,2021112200,45,8.0,4.0,2.0,3.0,3.0,7,4.0,4.0,2.0,15.0,,51,4.0,4.0,2.0,,24,1.0,21.0,11.0,10,35,37,0,0,2,0,1,0,10,0,9,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,15,5,0,9,21,14,7,9,13,9,4,0,0,0,2,0,0,0,1,12,14,10,4,0,0,0,1,1,4,2,0,30,1,6,3,4,50,72,90,13,120,197,118,42,8,3,19,0,2,1,3,20,51,35,2,1,40,1,7,14,225,477
1,2,2,3,2021112200,26,8.0,1.0,4.0,1.0,1.0,3,1.0,1.0,2.0,23.0,1.0,42,4.0,1.0,,1.0,14,2.0,14.0,5.0,18,24,11,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,3,0,5,0,20,0,9,10,13,10,5,7,9,5,0,0,0,1,0,0,0,2,5,7,4,2,0,0,1,0,1,1,0,0,10,4,2,2,3,120,197,118,42,50,72,90,13,8,1,5,1,1,2,4,25,42,26,1,2,18,1,2,11,477,225
3,0,0,2,2021112802,48,6.0,,4.0,5.0,1.0,7,3.0,3.0,3.0,9.0,1.0,37,4.0,6.0,3.0,3.0,27,2.0,13.0,9.0,10,32,39,0,0,1,1,0,0,5,24,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,10,0,0,5,14,8,6,9,9,7,4,6,1,1,1,0,0,0,2,0,4,12,11,9,0,0,0,0,0,1,1,0,38,4,1,2,2,19,216,117,77,79,100,84,97,5,2,29,1,2,1,3,15,37,26,3,2,36,0,2,9,429,360
3,2,0,1,2021112802,40,12.0,2.0,5.0,4.0,1.0,6,1.0,1.0,,2.0,2.0,45,3.0,1.0,2.0,1.0,18,3.0,12.0,9.0,15,50,29,0,0,0,3,2,0,0,5,46,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,10,5,6,19,16,4,3,13,10,3,0,0,2,0,1,1,1,0,2,18,6,8,0,2,0,0,0,2,2,1,31,3,4,2,3,79,100,84,97,19,216,117,77,6,5,51,3,1,2,2,15,45,29,2,3,34,2,5,12,360,429
2,2,0,4,2021112804,61,8.0,,1.0,4.0,2.0,7,3.0,8.0,3.0,10.0,3.0,33,4.0,4.0,6.0,2.0,34,2.0,14.0,11.0,7,55,23,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,2,1,2,0,10,10,15,7,14,7,5,7,11,6,4,0,0,1,4,2,0,0,0,5,11,8,5,0,0,0,2,1,3,2,0,27,3,7,2,4,99,44,17,61,48,137,92,40,8,0,0,3,3,0,5,35,33,28,5,2,29,2,6,16,221,317
1,3,3,2,2021112804,37,,,6.0,1.0,1.0,2,1.0,3.0,5.0,9.0,3.0,32,7.0,2.0,4.0,2.0,17,5.0,4.0,10.0,9,41,13,0,0,1,0,1,0,15,0,15,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,1,0,11,15,5,5,11,6,10,2,4,2,6,2,0,0,0,0,0,1,4,6,3,1,4,0,0,0,1,2,1,0,1,16,3,5,3,3,48,137,92,40,99,44,17,61,9,2,30,0,0,3,5,31,32,14,2,5,14,1,4,14,317,221
1,2,1,7,2021112801,57,5.0,2.0,,1.0,4.0,5,6.0,8.0,4.0,,1.0,25,4.0,7.0,5.0,,35,5.0,8.0,10.0,5,41,33,1,1,2,1,0,0,15,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,10,15,3,10,5,7,2,5,4,4,2,2,1,0,2,0,1,2,4,7,8,4,0,0,0,2,0,1,1,0,24,2,3,2,6,92,99,19,26,17,60,135,68,11,3,15,1,1,1,3,25,25,15,5,5,23,2,2,13,236,280
2,2,1,3,2021112801,41,7.0,2.0,3.0,2.0,1.0,3,1.0,6.0,1.0,3.0,1.0,28,5.0,3.0,3.0,1.0,22,5.0,6.0,5.0,11,43,16,0,0,0,1,2,0,0,15,12,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,5,0,0,8,11,1,8,5,9,1,4,2,0,1,2,2,2,1,0,5,8,3,1,1,0,0,0,0,4,1,1,14,3,7,2,4,17,60,135,68,92,99,19,26,8,3,27,1,1,1,2,5,28,19,5,5,17,1,6,16,280,236
2,3,1,4,2021112803,49,17.0,,1.0,3.0,1.0,4,8.0,,,2.0,2.0,30,9.0,1.0,,,26,1.0,11.0,7.0,11,25,44,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,3,10,0,0,16,7,9,6,8,5,5,6,4,0,1,0,0,1,0,0,0,10,4,8,3,0,0,0,0,3,0,1,1,24,4,3,2,4,34,121,104,103,113,62,103,56,10,1,0,1,1,1,5,26,30,20,1,1,25,0,5,13,362,334
1,2,2,2,2021112803,42,20.0,7.0,5.0,,2.0,4,1.0,,,9.0,2.0,42,3.0,6.0,,1.0,28,1.0,11.0,3.0,12,45,20,1,1,0,2,0,1,0,18,0,5,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,2,5,0,0,15,5,15,9,13,3,10,6,5,1,0,0,0,0,1,0,0,3,7,8,7,0,0,0,0,1,3,2,3,14,2,5,4,5,113,62,103,56,34,121,104,103,7,3,23,2,1,1,4,20,42,24,1,1,25,0,9,16,334,362
0,3,2,1,2021112805,46,6.0,3.0,2.0,3.0,6.0,9,4.0,2.0,3.0,,,33,1.0,1.0,5.0,2.0,23,2.0,11.0,3.0,14,31,40,0,0,1,1,1,0,5,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,4,18,8,3,2,13,5,3,1,0,0,1,0,0,1,1,6,12,8,7,0,0,0,0,2,0,1,1,36,2,4,3,2,66,145,69,35,32,195,99,67,6,3,25,0,1,0,1,10,33,23,2,2,33,0,4,11,315,393
3,1,1,2,2021112805,52,14.0,1.0,1.0,2.0,1.0,3,2.0,8.0,3.0,,1.0,21,3.0,3.0,4.0,1.0,35,2.0,3.0,7.0,8,20,48,0,0,2,1,0,0,15,15,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,15,0,5,8,3,5,5,5,1,1,0,0,1,1,1,0,0,1,5,9,5,3,1,0,0,0,0,2,2,1,13,2,3,3,3,32,195,99,67,66,145,69,35,7,3,30,4,0,1,2,15,21,12,2,2,22,1,5,11,393,315
1,1,3,1,2021112809,62,8.0,1.0,2.0,4.0,3.0,7,6.0,4.0,7.0,,3.0,28,3.0,7.0,3.0,3.0,38,2.0,4.0,6.0,11,42,41,0,0,0,1,0,1,0,0,0,22,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,5,10,20,0,7,10,9,2,4,7,7,2,0,1,0,0,1,0,1,0,8,8,14,3,0,0,0,0,2,2,0,1,46,4,4,3,2,65,101,111,74,117,96,180,67,6,2,22,0,1,1,4,35,28,20,1,2,33,0,5,13,351,460
3,1,0,2,2021112809,31,7.0,5.0,1.0,3.0,,5,1.0,1.0,3.0,4.0,,35,3.0,,3.0,3.0,18,1.0,12.0,5.0,10,22,37,1,1,1,2,0,1,15,8,0,5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,9,8,4,14,6,6,4,7,1,0,1,0,0,1,0,0,5,7,11,3,1,0,0,0,0,1,0,1,20,3,2,0,4,117,96,180,67,65,101,111,74,6,4,28,2,1,1,1,10,35,23,2,1,26,1,2,9,460,351
1,1,1,0,2021112807,50,4.0,2.0,2.0,4.0,,5,2.0,6.0,4.0,1.0,1.0,25,3.0,3.0,8.0,5.0,32,2.0,8.0,4.0,8,28,42,0,0,0,0,2,0,0,0,10,0,2,0,0,0,0,0,0,2,0,1,0,0,1,2,1,0,10,5,10,0,11,6,2,6,7,4,0,5,0,2,2,0,2,0,0,0,10,6,1,11,0,0,0,0,2,1,0,4,22,5,2,1,4,16,142,104,195,113,73,3,108,3,2,10,2,2,1,4,25,25,16,4,2,28,0,7,12,457,297
2,2,2,0,2021112807,31,3.0,2.0,6.0,1.0,1.0,3,1.0,2.0,1.0,7.0,1.0,49,3.0,3.0,2.0,1.0,13,4.0,7.0,15.0,19,47,22,1,1,1,1,0,1,5,15,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,2,3,1,0,20,25,5,3,17,14,15,1,11,9,11,2,0,0,0,0,2,2,0,1,9,6,10,0,0,1,0,0,4,2,3,19,2,6,5,4,113,73,3,108,16,142,104,195,6,3,25,0,1,2,6,50,49,32,2,4,26,1,9,17,297,457
2,4,3,3,2021112808,56,18.0,4.0,4.0,3.0,4.0,8,3.0,2.0,2.0,3.0,,47,6.0,2.0,4.0,1.0,32,1.0,14.0,9.0,15,60,30,1,1,0,1,0,0,0,10,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,12,10,9,15,14,9,7,8,9,4,1,0,0,1,0,1,0,0,8,9,11,3,1,0,1,0,3,2,1,1,30,5,6,4,4,21,196,62,133,64,179,99,60,12,1,10,2,1,0,4,22,47,28,2,1,31,2,7,19,412,402
2,2,1,3,2021112808,40,4.0,6.0,4.0,2.0,2.0,6,1.0,1.0,8.0,21.0,2.0,39,5.0,2.0,2.0,1.0,19,2.0,7.0,9.0,10,25,24,1,1,1,1,0,1,0,5,0,15,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,10,4,11,8,16,2,7,4,9,0,1,0,0,1,0,0,1,1,12,4,10,0,0,0,0,0,1,3,1,40,2,3,4,4,64,179,99,60,21,196,62,133,8,3,20,1,0,1,4,10,39,22,1,2,27,0,5,13,402,412
3,1,2,3,2021120200,45,2.0,5.0,3.0,2.0,2.0,4,1.0,3.0,6.0,4.0,2.0,41,6.0,2.0,4.0,4.0,22,3.0,7.0,8.0,18,39,35,0,0,0,2,0,1,0,18,0,10,0,1,0,1,0,0,0,1,0,1,0,3,1,1,1,3,5,10,11,5,10,11,8,12,6,7,3,8,0,1,0,0,0,0,1,2,3,8,8,7,0,0,0,1,1,2,2,0,23,4,3,4,3,105,116,80,94,76,127,121,144,9,3,28,2,1,4,6,31,41,24,1,3,26,1,5,14,395,468
3,2,2,3,2021120200,43,,3.0,2.0,3.0,2.0,5,4.0,6.0,2.0,2.0,,45,8.0,,7.0,2.0,21,1.0,15.0,6.0,16,39,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,2,2,0,1,10,20,0,5,10,19,7,9,6,13,3,5,0,0,1,2,0,1,0,0,7,7,4,6,0,0,0,0,1,1,0,1,21,3,4,2,5,76,127,121,144,105,116,80,94,10,0,0,0,4,1,5,35,45,27,3,1,24,0,3,14,468,395
