fourth_down_attempts_q1,fourth_down_attempts_q2,fourth_down_attempts_q3,fourth_down_attempts_q4,game_id,num_of_,num_of_CENTER,num_of_DEEP LEFT,num_of_DEEP RIGHT,num_of_EXTRA POINT,num_of_FIELD GOAL,num_of_KICK OFF,num_of_LEFT END,num_of_LEFT GUARD,num_of_LEFT TACKLE,num_of_NO HUDDLE SHOTGUN,num_of_NO PLAY,num_of_PASS,num_of_PUNT,num_of_RIGHT END,num_of_RIGHT GUARD,num_of_RIGHT TACKLE,num_of_RUSH,num_of_SACK,num_of_SHORT LEFT,num_of_SHORT MIDDLE,num_of_SHORT RIGHT,num_of_SHOTGUN,num_of_UNDER CENTER,num_of_attempted_two_pt_conversions,num_of_completed_two_pt_conversions,num_of_defensive_penalties_q1,num_of_defensive_penalties_q2,num_of_defensive_penalties_q3,num_of_defensive_penalties_q4,num_of_defensive_penalty_yards_q1,num_of_defensive_penalty_yards_q2,num_of_defensive_penalty_yards_q3,num_of_defensive_penalty_yards_q4,num_of_fumbles_q1,num_of_fumbles_q2,num_of_fumbles_q3,num_of_fumbles_q4,num_of_interceptions_caught_q1,num_of_interceptions_caught_q2,num_of_interceptions_caught_q3,num_of_interceptions_caught_q4,num_of_interceptions_thrown_q1,num_of_interceptions_thrown_q2,num_of_interceptions_thrown_q3,num_of_interceptions_thrown_q4,num_of_offensive_penalties_q1,num_of_offensive_penalties_q2,num_of_offensive_penalties_q3,num_of_offensive_penalties_q4,num_of_offensive_penalty_yards_q1,num_of_offensive_penalty_yards_q2,num_of_offensive_penalty_yards_q3,num_of_offensive_penalty_yards_q4,num_of_passes_attempted_q1,num_of_passes_attempted_q2,num_of_passes_attempted_q3,num_of_passes_attempted_q4,num_of_passes_completed_q1,num_of_passes_completed_q2,num_of_passes_completed_q3,num_of_passes_completed_q4,num_of_sacks_q1,num_of_sacks_q2,num_of_sacks_q3,num_of_sacks_q4,num_of_times_sacked_q1,num_of_times_sacked_q2,num_of_times_sacked_q3,num_of_times_sacked_q4,number_of_first_downs_q1,number_of_first_downs_q2,number_of_first_downs_q3,number_of_first_downs_q4,number_of_successful_fourth_downs_q1,number_of_successful_fourth_downs_q2,number_of_successful_fourth_downs_q3,number_of_successful_fourth_downs_q4,number_of_successful_third_downs_q1,number_of_successful_third_downs_q2,number_of_successful_third_downs_q3,number_of_successful_third_downs_q4,points,third_down_attempts_q1,third_down_attempts_q2,third_down_attempts_q3,third_down_attempts_q4,yards_allowed_q1,yards_allowed_q2,yards_allowed_q3,yards_allowed_q4,yards_moved_q1,yards_moved_q2,yards_moved_q3,yards_moved_q4,fourth_down_attempts_total,num_of_defensive_penalties_total,num_of_defensive_penalty_yards_total,num_of_fumbles_total,num_of_interceptions_caught_total,num_of_interceptions_thrown_total,num_of_offensive_penalties_total,num_of_offensive_penalty_yards_total,num_of_passes_attempted_total,num_of_passes_completed_total,num_of_sacks_total,num_of_times_sacked_total,number_of_first_downs_total,number_of_successful_fourth_downs_total,number_of_successful_third_downs_total,third_down_attempts_total,yards_allowed_total,yards_moved_total
0,1,1,0,2021101007,48,4.0,3.0,6.0,6.0,2.0,8,1.0,3.0,2.0,,3.0,46,1.0,1.0,6.0,4.0,21,2.0,11.0,16.0,8,39,52,0,0,3,0,1,0,22,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,10,15,10,11,8,9,7,10,1,1,0,1,0,1,1,0,11,14,5,15,0,0,0,0,2,1,2,3,45,2,3,3,4,128,64,71,40,141,149,91,178,2,4,38,0,1,0,2,9,46,34,3,2,45,0,8,12,303,559
1,3,0,2,2021101007,24,4.0,3.0,2.0,2.0,1.0,4,2.0,,1.0,7.0,1.0,42,4.0,2.0,,,9,3.0,13.0,6.0,16,45,9,0,0,1,2,0,3,0,12,0,20,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,0,0,12,12,9,9,8,9,6,5,0,1,1,0,1,1,0,1,9,3,7,3,0,0,0,0,0,1,1,0,17,1,3,2,2,141,149,91,178,128,64,71,40,6,6,32,1,0,1,2,5,42,28,2,3,22,0,2,8,559,303
2,3,1,4,2021101006,38,3.0,4.0,1.0,1.0,2.0,5,2.0,2.0,4.0,9.0,4.0,38,4.0,1.0,3.0,2.0,17,3.0,9.0,9.0,14,41,20,1,1,0,1,2,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,5,10,0,10,2,9,6,21,2,4,5,14,1,0,0,0,0,1,1,1,2,4,4,14,0,0,0,3,0,1,0,1,19,2,5,2,4,137,120,82,66,19,88,62,204,10,3,42,0,0,1,5,25,38,25,1,3,24,3,2,13,405,373
0,2,1,2,2021101006,54,11.0,3.0,2.0,3.0,3.0,6,2.0,8.0,3.0,1.0,2.0,27,2.0,,6.0,6.0,36,1.0,9.0,7.0,5,49,26,0,0,1,2,0,0,10,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,5,10,10,10,8,8,8,3,6,3,4,3,0,1,1,1,1,0,0,0,9,8,7,3,0,0,0,0,4,0,3,0,30,4,3,4,2,19,88,62,204,137,120,82,66,5,3,24,1,1,0,5,35,27,16,3,1,27,0,7,13,373,405
1,2,1,5,2021101005,42,1.0,2.0,4.0,,3.0,5,4.0,1.0,5.0,3.0,,39,5.0,4.0,2.0,7.0,24,4.0,19.0,4.0,10,38,32,1,1,0,1,0,0,0,15,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,15,10,9,5,15,5,6,3,9,0,0,1,1,2,0,0,2,8,4,5,9,0,0,0,0,1,1,1,1,17,3,3,2,5,68,141,94,114,81,61,77,106,9,1,15,1,1,1,3,15,39,23,2,4,26,0,4,13,417,325
1,1,2,3,2021101005,47,3.0,3.0,,1.0,5.0,5,2.0,6.0,3.0,,,34,3.0,7.0,7.0,1.0,29,2.0,12.0,7.0,10,21,51,0,0,2,0,0,2,10,0,0,29,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,10,15,10,6,10,7,11,3,9,6,9,2,0,0,2,0,0,1,1,5,10,4,6,0,0,0,0,2,1,2,1,19,3,2,4,5,81,61,77,106,68,141,94,114,7,4,39,1,1,1,3,35,34,27,4,2,25,0,6,14,325,417
2,2,1,3,2021100312,52,10.0,2.0,3.0,3.0,3.0,6,7.0,1.0,3.0,2.0,,36,4.0,4.0,3.0,2.0,30,3.0,10.0,11.0,7,42,36,0,0,2,1,0,1,10,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,0,0,10,12,8,6,6,7,5,2,0,1,0,1,1,0,1,1,6,13,10,2,0,0,0,0,3,2,2,2,33,4,3,3,5,80,56,71,82,82,124,127,36,8,4,15,1,1,0,2,10,36,20,2,3,31,0,9,15,289,369
1,1,2,3,2021100312,30,2.0,2.0,3.0,2.0,1.0,4,2.0,4.0,3.0,15.0,1.0,41,3.0,,3.0,3.0,17,2.0,14.0,15.0,6,38,14,0,0,0,1,2,0,0,5,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,10,0,5,6,8,12,15,4,5,7,11,1,0,1,1,0,1,0,1,5,4,6,7,0,0,0,0,2,1,0,1,17,3,3,2,4,82,124,127,36,80,56,71,82,7,3,19,1,0,1,2,15,41,27,3,2,22,0,4,12,369,289
1,2,1,1,2021100309,64,19.0,2.0,3.0,4.0,3.0,8,6.0,2.0,2.0,32.0,2.0,33,2.0,2.0,,4.0,35,4.0,8.0,5.0,14,38,21,0,0,0,1,2,0,0,5,28,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3,0,0,10,20,0,0,7,18,8,0,6,11,7,0,0,0,0,0,1,2,1,0,7,17,10,5,0,0,0,0,1,4,2,1,37,2,8,3,2,139,86,78,101,100,170,102,94,5,3,33,1,2,0,4,30,33,24,0,4,39,0,8,15,404,466
1,2,1,1,2021100309,36,6.0,6.0,3.0,2.0,3.0,5,,3.0,1.0,21.0,2.0,45,1.0,3.0,2.0,5.0,20,,12.0,9.0,12,36,15,0,0,1,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,1,0,5,15,10,0,10,12,12,11,8,4,8,8,1,2,1,0,0,0,0,0,10,4,5,9,0,0,0,0,2,2,0,2,20,3,4,1,3,100,170,102,94,139,86,78,101,5,2,6,1,0,2,4,30,45,28,4,0,28,0,6,11,466,404
